tarea,subtarea,tipo,analisis,implementacion,pruebas,total
,"Campañas (batch), throttling y límites por minuto/cliente",Core IA,2.4,7.199999999999999,3.5999999999999996,13.2
,Promos por cumpleaños (job diario) y recordatorios de mantenimiento,Negocio/Personalización,1.2,6.0,3.5999999999999996,10.799999999999999
,A/B testing de contenidos y seguimiento de conversiones,Core IA,1.2,6.0,3.5999999999999996,10.799999999999999
,Cálculo de costos por categoría y presupuesto mensual,Core IA,1.2,4.8,2.4,8.399999999999999
Conversaciones & Handoff,"Bandeja de conversaciones (asignación, SLA, notas, etiquetas)",Core IA,2.4,9.6,4.8,16.799999999999997
,"Hilo/log de conversación (origen IA vs humano, costos, estados)",Core IA,2.4,7.199999999999999,4.8,14.4
,Tomar/ceder control: 'Agente toma control' y 'Volver a IA',Core IA,1.2,7.199999999999999,3.5999999999999996,11.999999999999998
,Sugerencias de respuesta para agente (assistive AI),Core IA,2.4,6.0,3.5999999999999996,12.0
,Resúmenes automáticos por conversación,Core IA,1.2,4.8,2.4,8.399999999999999
Contexto IA,Perfilamiento de contexto: perfil cliente + últimas interacciones,Core IA,2.4,7.199999999999999,3.5999999999999996,13.2
,Inyección de contexto en prompts (plantillas de sistema),Core IA,2.4,6.0,3.5999999999999996,12.0
,"Redacción segura (enmascarado PII/secretos, guardrails)",Core IA,2.4,6.0,3.5999999999999996,12.0
,Memoria conversacional con caducidad/olvido,Core IA,1.2,4.8,2.4,8.399999999999999
Base de conocimiento (RAG),"CRUD de documentos (subida, tags, metadatos, idiomas)",Core IA,2.4,7.199999999999999,3.5999999999999996,13.2
,Aprobación editorial y versionado de artículos,Core IA,2.4,6.0,3.5999999999999996,12.0
,Ingesta automática desde conversaciones (Q&A mining),Core IA,2.4,7.199999999999999,3.5999999999999996,13.2
,Reindexación programada y validación de calidad (coverage/precision),Core IA,1.2,7.199999999999999,3.5999999999999996,11.999999999999998
,Métricas de respuesta con citas y trazabilidad de fuentes,Core IA,1.2,4.8,2.4,8.399999999999999
Analítica & Costos,"Panel de campañas (entregados, leídos, clics, conversiones)",Core IA,1.2,7.199999999999999,2.4,10.799999999999999
,Costos por categoría WA y por LLM (tokens) por cliente,Core IA,1.2,6.0,2.4,9.6
,"KPIs de bot: FCR, deflexión, TMO, tiempo a primera respuesta",Core IA,1.2,6.0,2.4,9.6
,Exportación de métricas (CSV/API) y data warehouse,Core IA,1.2,6.0,2.4,9.6
Cumplimiento,Registro de consentimientos por canal/categoría y auditoría,Core IA,2.4,6.0,3.5999999999999996,12.0
,Palabras clave de baja (STOP/BAJA) y listas DNC,Core IA,1.2,4.8,3.5999999999999996,9.599999999999998
,Retención y anonimización; derecho de supresión,Core IA,2.4,4.8,2.4,9.6
Integraciones,Conectores CRM/ERP (Salesforce/HubSpot/ERP mantenimiento),Negocio/Personalización,2.4,9.6,4.8,16.799999999999997
,Webhooks entrantes/salientes y API pública segura,Core IA,2.4,8.4,3.5999999999999996,14.4
,Importadores periódicos (CSV/S3/Drive) y mapeos,Negocio/Personalización,1.2,7.199999999999999,2.4,10.799999999999999
Operación,"Scheduler distribuido y jobs críticos (idempotencia, reintentos)",Core IA,2.4,8.4,3.5999999999999996,14.4
,"Gestión de errores y DLQ (dead-letter, replays)",Core IA,1.2,7.199999999999999,3.5999999999999996,11.999999999999998
,"Gestión de capacidad por cliente (rate limit, cuotas, alertas)",Core IA,1.2,6.0,3.5999999999999996,10.799999999999999
,,,,,,991.1999999999999
